"basic_unit_id","code","synonym","notes","region_id","continent_id","place","id","botanical_country_id"
232,"1051","","one of Kikladhes",4,1,"Voriai",762,123
276,"1052","","",39,7,"Iowa",763,139
280,"1053","","",20,3,"Iran",764,142
281,"1054","","",20,3,"Iraq",765,143
277,"1055","","excluding Northern Ireland",1,1,"Ireland",766,140
"","1056","","including Northern Ireland",1,1,"Ireland",767,140
278,"1057","Northern Ireland","",1,1,"Ireland, Northern",768,140
437,"1058","","",27,4,"Irian Jaya",769,240
427,"1059","","part of Sakishima-gunto",24,3,"Iriomote",770,231
523,"1696","","",24,3,"P'eng-hu Lieh-tao",1403,315
331,"1697","","",27,4,"Penida",1404,176
524,"1694","","",11,2,"Pemba I.",1401,316
349,"1695","Pinang","",27,4,"Penang",1402,192
498,"1692","","",4,1,"Pelagie Is.",1399,295
232,"1693","","",4,1,"Peloponnisos",1400,123
286,"1690","","",46,8,"Pedro Cays",1397,146
128,"1691","Beijing","",22,3,"Peking",1398,61
488,"1791","","one of Iles sous le Vent",32,6,"Raiatea",1498,287
349,"1698","","",27,4,"Pennisular Malaysia",1405,192
352,"1699","","",27,4,"Penju Is.",1406,194
67,"1278","","",5,1,"Lithuania",989,35
67,"1279","Lithuania","",5,1,"Litva",990,35
513,"618","Sulawesi","",27,4,"Celebes",329,307
110,"619","Central African Republic","",9,2,"Central African Empire",330,51
217,"612","","",47,8,"Cayenne",323,111
112,"613","","",46,8,"Cayman Brac",324,53
"","610","","",19,3,"Caucasus, North",321,219
54,"611","","",46,8,"Cay Sal Bank",322,26
461,"616","","",27,4,"Cebu",327,262
386,"617","","",44,7,"Cedros I.",328,210
112,"614","","U.K. Dependent Territory",46,8,"Cayman Is.",325,53
86,"615","","",49,8,"Ceará",326,46
540,"1795","","",31,6,"Rakahanga",1502,326
29,"1794","","",15,2,"Rajaswaree Reef",1501,8
450,"1491","","",21,3,"Muscat",1201,252
598,"1472","","",4,1,"Montenegro",1182,365
322,"1473","","U.K. Crown Colony",46,8,"Montserrat",1183,172
504,"1470","","",31,6,"Mono I.",1180,300
351,"1471","","",38,7,"Montana",1181,193
475,"1476","","",5,1,"Mordoviya",1186,275
368,"1477","","",44,7,"Morelos",1187,206
488,"1474","","one of Iles du Vent",32,6,"Moorea",1184,287
286,"1475","","",46,8,"Morant Cays",1185,146
354,"1478","","excluding Ceuta and Melilla",6,2,"Morocco",1188,196
"","1479","","including Ceuta and Melilla",6,2,"Morocco",1189,196
60,"1304","","",2,1,"Luxembourg",1014,31
461,"1305","","",27,4,"Luzon",1015,262
145,"1306","","",22,3,"Ma-tsu-Pai-chúan",1016,63
144,"1307","","",22,3,"Macau",1017,63
